Skill,Output
Pitch and intonation,"Learning objective: My goal is to improve my presentation skills by using different pitches and intonations to make my delivery engaging and understandable. I aim to effectively use intonations to emphasize key points in my storytelling.

Action plan: I will achieve this by practicing my pitch with different intonations and pitches to understand how they can enhance my delivery. I will also record myself during practice sessions and review the recordings to assess if I am effectively using intonations and pitches to engage the audience. Additionally, I will seek feedback from peers and instructors on whether my intonations and pitches are clear and impactful in conveying the key points of my presentation."
Language use,"Learning objective: ""My goal is to improve my language use by using precise, clear, and professional language, including appropriate scientific terminology, in my written assignments for the course. This includes avoiding filler words and using sentence structures that effectively convey my message to the reader.""
Action plan: I will achieve this by reviewing the course materials on scientific terminology and language use. I will also practice writing assignments using a more formal and concise tone, avoiding filler words such as ""like"" and ""um"". I will ask for feedback from peers and the instructor on my language use in my written assignments and make necessary adjustments based on their suggestions. Lastly, I will track my progress by comparing my language use in each assignment to the previous one, aiming to see improvement in clarity and professionalism."
Language use,"Learning objective: My goal is to enhance my language use by incorporating precise, clear, and professional language into my written assignments and presentations, including the correct use of scientific terminology. I aim to eliminate filler words in my sentences and use strategic pauses to effectively convey my message to the audience.

Action plan: I will achieve this goal by first creating a list of common filler words to avoid in my writing and presentations. I will then conduct research to improve my knowledge and understanding of scientific terminology related to the course material. Additionally, I will practice writing and delivering presentations, focusing on using precise and professional language while minimizing filler words. I will seek feedback from my instructor and peers to assess my progress and make any necessary adjustments to improve my language use."
"Facial Expression: The ability to use facial expressions to give an accessible presentation (e.g., friendly smile) and to emphasize what is being said (e.g., by using facial expressions).","Learning objective: ""My goal is to effectively use facial expressions during my presentations to engage the audience and emphasize key points. I will achieve this by incorporating smiles and various expressions that align with the tone of my content.""
Action plan: ""I will practice my presentation in front of a mirror to observe my facial expressions and make necessary adjustments. Additionally, I will record myself giving the presentation and analyze the video to see if my facial expressions effectively complement my speech. Feedback from peers and instructors will also be sought to ensure that my facial expressions are engaging and relevant to the content."""
Time management and speaking pace,"Learning objective: ""My goal is to improve my time management and speaking pace during my presentation, ensuring that I speak clearly, at a steady pace, allowing the audience to follow along easily, and finishing within the allocated time frame.""

Action plan: I will achieve this by practicing my presentation multiple times, using a timer to ensure I speak at a consistent pace. I will also focus on pausing at key points to allow the audience to digest information. Additionally, I will ask for feedback from peers or instructors on my pace and time management during practice sessions. In the meantime, I will keep track of my progress by recording myself, noting any improvements and areas for adjustment."
Non-verbal communication,"Learning objective: My goal is to improve my non-verbal communication skills by making appropriate eye contact with the audience during my presentations, both in-person and online.

Action plan: I will achieve this by practicing my presentations in front of a mirror or recording myself to assess my eye contact. I will also seek feedback from classmates or teachers after each presentation to see if they noticed improved eye contact and adjust my approach accordingly. By the end of the 4-week course, I aim to demonstrate confidently engaging eye contact during all my presentations."
"Facial Expression: The ability to use facial expressions to give an accessible presentation (e.g., friendly smile) and to emphasize what is being said (e.g., by using facial expressions).","Learning objective: My goal is to effectively use facial expressions in my presentation to engage the audience and emphasize key points.

Action plan: I will achieve this by practicing in front of a mirror to work on different facial expressions that convey friendliness and enthusiasm. Additionally, I will record myself giving the presentation and review the footage to see if my facial expressions align with the content and message. I will seek feedback from classmates or instructors on how engaging and impactful my facial expressions are during the presentation."
Non-verbal communication,"Learning objective: ""My goal is to improve my non-verbal communication skills by maintaining eye contact with the audience during my virtual presentation. I will achieve this by regularly looking into the camera and alternating between different areas of the screen where I believe the audience is located.""

Action plan: I will practice my virtual presentation by recording myself and reviewing the footage to ensure I am consistently maintaining eye contact with the camera. Additionally, I will ask a friend or family member to watch a live run-through of my presentation and provide feedback on my eye contact. I will make any necessary adjustments based on this feedback to improve my non-verbal communication skills."
Voice volume,"Learning objective: ""My goal is to enhance my vocal volume during presentations to ensure that all audience members can hear me clearly. I will achieve this by projecting my voice, using proper breathing techniques, and practicing vocal exercises regularly.""
Action plan: ""I will achieve this by practicing breathing exercises daily to improve my lung capacity and vocal projection. During presentations, I will consciously focus on speaking louder and projecting my voice to the back of the room. I will also record myself while practicing and ask for feedback from classmates on the clarity and volume of my voice."""
Structure of the presentation,"Learning objective: ""My goal is to improve the structure of my presentations by creating a clear introduction, middle, and conclusion, with cohesive connections between each part to enhance the overall coherence and impact of my delivery.""
Action plan: To achieve this, I will outline each presentation with a clear introduction that sets the stage, a middle section that presents my main points logically, and a conclusion that summarizes the key takeaways. I will practice delivering my presentations to a small group of peers and request feedback on the structure and connections between different parts. I will also review video recordings of my practice sessions and assess whether the structure enhances the overall flow and impact of my presentations."
